TIME_25_1;HRR_25_1;TIME_25_2;HRR_25_2;TIME_25_3;HRR_25_3;TIME_50_1;HRR_50_1;TIME_50_2;HRR_50_2;TIME_50_3;HRR_50_3;TIME_75_1;HRR_75_1;TIME_75_2;HRR_75_2;TIME_75_3;HRR_75_3
495.0;182.991865768768;495.0;162.409169182046;495.0;170.427647444175;495.0;47.5153169405788;495.0;51.6391325157593;495.0;40.9574374248259;495.0;7.7734584435888;495.0;9.38720854439261;495.0;10.6408825364943
500.0;168.629111968435;500.0;162.585247474585;500.0;158.879866556425;500.0;45.5616341695903;500.0;51.4967796873326;500.0;37.8270100070537;500.0;7.20192488922925;500.0;10.2320134255598;500.0;9.58524435934591
505.0;162.371441055007;505.0;151.628548913562;505.0;160.090251927774;505.0;45.5634519568854;505.0;49.8444369583737;505.0;36.600957828604;505.0;5.46748345270898;505.0;9.52490270688064;505.0;9.04706769290411
510.0;152.987862774949;510.0;144.686845626213;510.0;144.87111052229;510.0;44.8057788650556;510.0;49.079106858486;510.0;34.3350485155391;510.0;5.90365743728651;510.0;9.53399604506274;510.0;8.31856730901693
515.0;144.113575326328;515.0;137.560669559532;515.0;135.739371761777;515.0;44.8673355214954;515.0;47.4189746767142;515.0;31.8940642178018;515.0;5.8007079699478;515.0;6.21108815611517;515.0;9.52532641831013
520.0;138.491281685044;520.0;131.740771566841;520.0;129.5633946585;520.0;47.2904966272205;520.0;46.9200840960958;520.0;29.1420359889272;520.0;4.82702287725432;520.0;4.6370149679636;520.0;8.63073498392106
525.0;130.818361567653;525.0;128.627782184878;525.0;123.345747956867;525.0;45.655955283279;525.0;46.4769274289452;525.0;27.5657539880944;525.0;3.90287024207742;525.0;5.56000214910301;525.0;6.47491399338155
530.0;124.75171410494;530.0;124.383985100924;530.0;117.864406080879;530.0;48.6680892200732;530.0;43.0576805825798;530.0;26.0102757450942;530.0;3.22949497926771;530.0;6.44834458728907;530.0;8.26015487027038
535.0;126.172621723321;535.0;122.040968631792;535.0;112.409698555118;535.0;46.5419232848905;535.0;42.2361466770332;535.0;26.211151961548;535.0;2.55069513444765;535.0;4.58822713633642;535.0;8.48949885060477
540.0;123.465202837988;540.0;121.132752712668;540.0;109.708844113776;540.0;49.0533196940918;540.0;38.9783995768879;540.0;27.3070033100929;540.0;3.69303739094936;540.0;3.72691637891703;540.0;7.85509348513427
545.0;118.954336797055;545.0;111.635623945388;545.0;105.613459360897;545.0;48.4229531190876;545.0;34.3576409565465;545.0;25.5232187502192;545.0;2.96486223192454;545.0;3.72709320129962;545.0;7.14923947163257
550.0;117.059392449932;550.0;112.046013566171;550.0;104.324110163543;550.0;47.9018195351354;550.0;30.1122804355105;550.0;21.1163425668817;550.0;2.93880578891485;550.0;4.93872377709953;550.0;6.48438456212444
555.0;112.992038110508;555.0;103.057709281874;555.0;97.1387876959574;555.0;49.7754929516506;555.0;28.5818929117007;555.0;18.7223400589958;555.0;2.96039552888412;555.0;4.35886763141907;555.0;6.47985593059534
560.0;110.230337508689;560.0;103.108592962276;560.0;96.7768556543605;560.0;46.6058443956152;560.0;26.1167798474062;560.0;17.7146751113157;560.0;2.06682150998966;560.0;4.47694802750432;560.0;5.56216702397808
565.0;104.61367153957;565.0;101.31093090234;565.0;91.1162680410432;565.0;45.7264875863729;565.0;25.3247007772003;565.0;16.8139946366514;565.0;0.362904528356479;565.0;4.30528329145117;565.0;4.706561855889
