TIME_25_1;HRR_25_1;TIME_25_2;HRR_25_2;TIME_25_3;HRR_25_3;TIME_50_1;HRR_50_1;TIME_50_2;HRR_50_2;TIME_50_3;HRR_50_3;TIME_75_1;HRR_75_1;TIME_75_2;HRR_75_2;TIME_75_3;HRR_75_3;TIME_75_4;HRR_75_4
390.0;316.009059726135;390.0;310.750598747939;390.0;318.201476507015;390.0;724.210577077514;390.0;681.815278955908;390.0;766.660897027292;390.0;317.252929736228;390.0;268.085842210692;390.0;311.952503266617;390.0;278.897505385311
395.0;317.714434491658;395.0;314.871557327095;395.0;310.469190965614;395.0;725.54002870729;395.0;748.79377150761;395.0;738.409716781119;395.0;304.096431229923;395.0;249.496306348515;395.0;295.720544255217;395.0;258.702164488988
400.0;322.191097290398;400.0;314.686065535516;400.0;311.989169054909;400.0;720.405298379191;400.0;747.560170331061;400.0;773.38408826055;400.0;282.770317829924;400.0;246.242513423726;400.0;272.020404151567;400.0;240.728503388186
405.0;316.626644514878;405.0;309.984923385483;405.0;317.587889499316;405.0;721.906458846514;405.0;712.780772168034;405.0;753.425804754123;405.0;264.076280224466;405.0;222.434244024743;405.0;243.156465951822;405.0;233.054811985435
410.0;315.002616801307;410.0;316.485437718615;410.0;320.679909909616;410.0;706.320316286583;410.0;714.28999576118;410.0;764.658334067334;410.0;236.069588796362;410.0;201.511122219135;410.0;207.163915033435;410.0;218.040715894001
415.0;308.3877410498;415.0;319.804026852903;415.0;313.345083460295;415.0;715.045125121768;415.0;737.986303317683;415.0;787.846311925111;415.0;223.490987479394;415.0;183.560777653507;415.0;174.994701153963;415.0;197.709352019516
420.0;320.34018809941;420.0;316.02789209866;420.0;328.623101281643;420.0;745.687620659286;420.0;752.163138640184;420.0;839.664188160968;420.0;198.725606716128;420.0;170.256715235616;420.0;155.5039438255;420.0;175.602826091431
425.0;323.089776018214;425.0;316.4106723865;425.0;328.242413264025;425.0;785.776810854407;425.0;773.215574018175;425.0;814.432676168435;425.0;177.201424459073;425.0;156.339387446068;425.0;134.344042410474;425.0;159.415595601238
430.0;316.38553100972;430.0;310.832961701988;430.0;318.283851921789;430.0;773.361337411879;430.0;759.505842257978;430.0;815.509626064577;430.0;151.328154670407;430.0;135.512308749814;430.0;119.275187167283;430.0;140.766309769674
435.0;310.803181542118;435.0;310.503947062713;435.0;314.614351802921;435.0;821.70359068751;435.0;801.732511493121;435.0;803.260586110961;435.0;133.396597183261;435.0;124.723509165447;435.0;98.4492418136593;435.0;127.509952967457
440.0;315.414203947502;440.0;335.532838692942;440.0;311.425799499313;440.0;793.227304839541;440.0;820.57647970128;440.0;737.845374879832;440.0;115.195581445304;440.0;114.796370692422;440.0;95.9625733121296;440.0;110.183057675082
445.0;312.127551622273;445.0;315.631974940925;445.0;312.345789150716;445.0;768.998936659652;445.0;779.661633167009;445.0;606.169958982993;445.0;100.68239396328;445.0;105.828660450796;445.0;86.2596125042928;445.0;97.8699250811545
450.0;324.478617075233;450.0;322.63968986335;450.0;308.039672056667;450.0;796.745920614167;450.0;811.598095992729;450.0;503.006272975252;450.0;91.0727940928145;450.0;94.4576563800898;450.0;79.171480400634;450.0;89.1635478858166
455.0;317.484993023341;455.0;325.219970526356;455.0;311.434222812985;455.0;727.689638781526;455.0;782.980704164183;455.0;415.34131788011;455.0;85.8344089858968;455.0;82.5991176171918;455.0;71.6587106361392;455.0;81.8643335062862
460.0;316.474825454949;460.0;323.324408096245;460.0;319.711961150707;460.0;637.764052883051;460.0;703.51644192433;460.0;371.67515875822;460.0;78.6766341596942;460.0;76.8969761066682;460.0;63.9415898833611;460.0;71.0216163678344
465.0;325.712891567161;465.0;321.878336943839;465.0;321.037130333608;465.0;573.409039278878;465.0;588.622380375518;465.0;343.996298572165;465.0;70.0992345713943;465.0;71.5344027085022;465.0;59.7822784021805;465.0;69.0811631154631
470.0;320.781394970249;470.0;320.764026663337;470.0;325.623261120884;470.0;465.982116852379;470.0;516.128296863171;470.0;322.593543382869;470.0;67.5245977120193;470.0;63.5500238903525;470.0;55.2808493121298;470.0;62.2746326630729
475.0;329.367136665256;475.0;329.524633175101;475.0;320.081759105303;475.0;401.981209381405;475.0;438.659773863256;475.0;305.1703252554;475.0;62.0675654643003;475.0;59.3286943325664;475.0;51.4546494977264;475.0;62.9101074205443
480.0;329.356889218505;480.0;333.979118962852;480.0;325.929144171505;480.0;355.651283977742;480.0;404.679338456154;480.0;306.304161856706;480.0;61.1999562326202;480.0;56.3307958806993;480.0;49.7949511442053;480.0;58.9010353205393
485.0;324.362339805499;485.0;333.564559218815;485.0;322.848073074468;485.0;340.513105507263;485.0;373.678118672323;485.0;304.312868543428;485.0;56.351077007742;485.0;52.2760641132411;485.0;47.4647900149661;485.0;56.8475134367567
490.0;318.848771516131;490.0;335.344592618634;490.0;330.445799541737;490.0;314.365074052005;490.0;362.573852208874;490.0;307.790852601368;490.0;50.6240013641319;490.0;49.3562285605465;490.0;45.263007693082;490.0;52.5713197306999
495.0;326.067498514115;495.0;331.890329686357;495.0;333.456134982185;495.0;311.721895953268;495.0;339.990512648849;495.0;304.701536583849;495.0;48.397291506698;495.0;47.0604711528114;495.0;39.5789445504464;495.0;50.9377016114617
500.0;318.557344751336;500.0;335.665269841312;500.0;331.274156637067;500.0;307.176247809876;500.0;341.178925738454;500.0;300.454387920785;500.0;46.4545916219627;500.0;43.9672085675445;500.0;36.2749717428677;500.0;46.5628001658823
505.0;327.69461120336;505.0;327.149017195294;505.0;323.744895329459;505.0;300.10559750835;505.0;331.646128495514;505.0;302.888675336364;505.0;44.5495252031471;505.0;27.8825862363436;505.0;34.0223417741334;505.0;44.2524920091274
510.0;330.584681693183;510.0;332.965538773199;510.0;337.57817062208;510.0;299.853843326119;510.0;320.221275966368;510.0;296.971767249791;510.0;40.6162010911962;510.0;18.2920211310451;510.0;32.8734563410926;510.0;40.9050108901877
515.0;325.63248699012;515.0;332.958645531393;515.0;330.337411795902;515.0;299.119930684723;515.0;328.989273301256;515.0;301.5601750346;515.0;37.840971240012;515.0;33.6985436598987;515.0;30.0049654109612;515.0;37.7779767581975
520.0;317.069322480784;520.0;331.295809169782;520.0;332.970253726047;520.0;292.35452267705;520.0;313.600724309627;520.0;287.351729882131;520.0;39.0361270983119;520.0;33.2929612000533;520.0;27.5696619425996;520.0;33.428196600951
525.0;327.503248418375;525.0;342.433578361275;525.0;332.345981996237;525.0;297.61672447065;525.0;309.745594890915;525.0;287.477564818666;525.0;36.8383252578454;525.0;33.2857798498595;525.0;25.7897410490995;525.0;32.7416448280067
530.0;332.468287211044;530.0;343.238810404244;530.0;330.982110000932;530.0;291.815755956126;530.0;305.876557127799;530.0;281.676624501321;530.0;35.1537133641243;530.0;29.9899254214834;530.0;25.0877547005545;530.0;32.0399890068313
535.0;338.879013342944;535.0;340.428692071287;535.0;346.325304724901;535.0;293.275230450584;535.0;303.558870704663;535.0;280.07406097186;535.0;32.5588063817678;535.0;28.7669853603759;535.0;25.2618739888473;535.0;28.924101049978
540.0;344.508718321378;540.0;337.48335983519;540.0;337.05537251995;540.0;288.048174659582;540.0;296.643731257726;540.0;267.270280598956;540.0;31.567637166971;540.0;29.2782939551542;540.0;25.6107387035915;540.0;29.1740803233071
545.0;346.870846752756;545.0;346.882450983437;545.0;347.081094186951;545.0;283.114213709909;545.0;289.944813261923;545.0;259.23616422911;545.0;28.2798392514535;545.0;27.9262875326819;545.0;24.7907380379579;545.0;29.6412598009934
550.0;345.915877359436;550.0;333.71379227405;550.0;347.589747891849;550.0;281.230134154674;550.0;286.715853740263;550.0;260.704036759733;550.0;25.9544074714607;550.0;25.9676709972507;550.0;23.8363651720849;550.0;28.8823936283022
555.0;342.539348197781;555.0;367.969826085911;555.0;351.148732203106;555.0;270.038387226218;555.0;285.831794931512;555.0;251.623291547342;555.0;22.9258834814742;555.0;25.6636711042241;555.0;21.1115630886103;555.0;25.9525305298692
560.0;340.864820421285;560.0;347.746423514117;560.0;351.875441410116;560.0;273.915874693159;560.0;279.110176610013;560.0;239.597085273441;560.0;23.3508970045718;560.0;25.4777832356971;560.0;21.7214162224696;560.0;25.4864257661496
565.0;338.572313465703;565.0;349.470838915729;565.0;345.476872823737;565.0;263.1830277766;565.0;278.116545403634;565.0;224.332362085912;565.0;20.982710798885;565.0;23.3393234904482;565.0;20.5648279482818;565.0;20.4820019559918
570.0;339.800675331148;570.0;359.4423141946;570.0;343.330225338105;570.0;251.541017711218;570.0;273.059745010819;570.0;212.708808248575;570.0;20.495895110387;570.0;23.3685106431444;570.0;18.6477465911441;570.0;18.5412553354759
575.0;343.638738674418;575.0;354.193136708494;575.0;362.083487276789;575.0;249.950083349571;575.0;262.824414387746;575.0;191.718830198948;575.0;20.5857348303126;575.0;21.1415753770948;575.0;15.6549742819574;575.0;16.2829247172244
580.0;351.325812775468;580.0;364.811988591764;580.0;360.609008018572;580.0;240.224683473323;580.0;252.150375845548;580.0;175.205572200823;580.0;19.3490422982758;580.0;17.5475232864283;580.0;16.5712824991521;580.0;16.0837968880193
585.0;344.865294535822;585.0;359.717616782879;585.0;359.770824113131;585.0;226.537405708894;585.0;246.936385122844;585.0;152.112399293709;585.0;19.3429288247993;585.0;18.3533226743499;585.0;15.6883869899423;585.0;14.207827279509
590.0;355.508908854568;590.0;362.51094440948;590.0;350.699405676036;590.0;212.676715461105;590.0;227.075648150424;590.0;139.69807995879;590.0;18.7988533846895;590.0;16.1821858608804;590.0;14.3465610702861;590.0;12.5405989288482
