Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:23:53
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;127;105.64;5.76;;;1.80;1.63;30.05;;276.35;;14.53;0.0088;Distortion. Melting. End flame at 169s.
;2010-07-23;c_LSFIRE_IN8-3_35a;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
533;3.238914037;0.28698022;0.106382413
535;3.236602982;0.30829591;0.130896365
537;3.152818641;0.34454615;0.149662671
539;3.163557703;0.33600835;0.146160575
541;3.155266968;0.35209507;0.104685657
543;3.188398712;0.34087211;0.052261313
545;3.110916108;0.29473665;0.027747361
547;3.240732582;0.31542754;5.4956E-16
549;3.207495367;0.25241767;0.018494673
551;3.172454412;0.26064345;0.068100831
553;3.138370748;0.29991207;0.098640846
555;3.169744009;0.27637053;0.127118579
557;3.19976941;0.27235285;0.145400675
559;3.20819344;0.3013175;0.162248831
561;3.127417809;0.30544675;0.112642674
563;3.151884064;0.33236592;0.082102659
565;3.200218017;0.3443669;0.053624925
567;3.1455358;0.32264992;0.035342829
569;3.145512053;0.3117059;0.002636523
571;3.193736321;0.29399098;0.048206862
573;3.172498215;0.3033533;0.073100465
575;3.163646255;-0.06710718;0.097027178
577;3.113767385;0.28160918;0.105477425
579;3.233776633;0.27221488;0.115443034
581;3.137607505;0.30767706;0.079600959
583;3.143939519;0.28528322;0.054707356
585;3.197270911;0.31626209;0.030780643
587;3.16116042;0.28999859;0.022330396
589;3.15463241;0.28999859;0.009728265
591;3.148027568;0.30369582;5.27356E-16
593;3.195706361;0.29039467;5.27356E-16
595;3.21561338;0.28265534;5.27356E-16
597;3.230696626;0.25343111;0.02648999
599;3.129198485;0.26543655;0.079030481
601;3.094300815;0.26924299;0.096188284
603;3.172151964;0.26867769;0.099987874
605;3.162102795;0.26979266;0.099987874
607;3.192645075;0.27187086;0.073497884
609;3.125406799;0.27965259;0.020957393
611;3.162019123;0.32346737;0.00379959
613;3.186004571;0.28125959;5.19029E-16
615;3.163417911;0.26407352;0.019908189
