Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:32:12
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;51;83.01;3.53;;;1.81;1.59;20.77;;419.79;;21.82;0.0088;Distortion. Melting. End flame at 176s.;2010-07-27;c_LSFIRE_IN8-3_50a;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
743;0.918286776;0.30710224;0.050972866
745;0.931867277;0.29388031;0.08846744
747;0.922385127;0.26098576;0.128941508
749;0.908419381;0.44953019;0.175980167
751;0.915488191;0.21597226;0.202379922
753;0.907263552;0.22997538;0.171277987
755;0.912215779;0.24719977;0.133783413
757;0.923915502;0.25556199;0.093309345
759;0.943823811;0.24699049;0.059621576
761;0.933839939;0.2132742;0.060623344
763;0.929787492;0.21524982;0.129677729
765;0.934847206;0.22393351;0.206842127
767;0.918752645;0.21420843;0.276551713
769;0.910630281;0.2324563;0.263200823
771;0.90913298;0.23236706;0.234642868
773;0.924600427;0.24217634;0.165229694
775;0.91885334;0.23492213;0.088065296
777;0.921550016;0.23340342;0.021282447
779;0.921970872;0.22693512;0.041696482
781;0.933632434;0.22809152;0.128514855
783;0.932249692;0.23012339;0.188820673
785;0.925745848;0.2130778;0.24660984
787;0.931978821;0.20703058;0.315641662
789;0.919375783;0.21101011;0.299338144
791;0.940453609;0.2149051;0.203917102
793;0.929389628;0.22311146;0.133858243
795;0.912090437;0.24489986;0.076069076
797;0.929320041;0.23371483;0.036061535
799;0.915121183;0.21479794;0.06082474
801;0.900092022;0.20391679;0.109635362
803;0.921399118;0.20411821;0.137422711
805;0.902703627;0.20732157;0.211027387
807;0.924791547;0.21147958;0.245390318
809;0.922374258;0.21878752;0.224910837
811;0.925807225;0.2189613;0.176100215
813;0.928880697;0.21308283;0.148312866
815;0.931479913;0.20600208;0.07470819
817;0.935093022;0.20362077;0.028145358
819;0.925374828;0.20463922;0.069471466
821;0.912067433;0.17871323;0.113192304
823;0.942487519;0.18569437;0.14171334
825;0.928107175;0.19293601;0.163196635
827;0.925559893;0.19316824;0.163210789
829;0.922642525;0.22763493;0.113490439
831;0.931239462;0.19444185;0.069769602
833;0.928111527;0.31832309;0.041248565
835;0.924806109;0.21209486;0.0418327
837;0.925817953;0.11508169;0.077579574
839;0.930862819;0.17809575;0.104091402
841;0.924645291;0.15294594;0.104091402
843;0.91900469;0.41462262;0.146549614
845;0.912625911;0.19196093;0.124482184
847;0.897152736;0.20378952;0.06897004
849;0.91310015;0.19589175;0.042458211
851;0.910650912;0.19507001;0.042458211
853;0.92119336;0.19942474;0.024080228
855;0.917783925;0.17793486;0.05530021
857;0.913885261;0.17416996;0.100318488
859;0.911006063;0.16927412;0.160947378
861;0.919005257;0.18699878;0.205213753
863;0.918402353;0.22459246;0.205028148
865;0.939540661;0.20315915;0.173808166
867;0.926385431;0.17401693;0.134459136
869;0.933577291;0.21655988;0.073830246
871;0.94164852;0.15861513;0.045973052
873;0.927476097;0.1511642;0.119857243
875;0.928113249;0.17131887;0.125006975
877;0.934034492;0.18048491;0.158365085
879;0.932338173;0.22295622;0.20630905
881;0.924173928;0.19798238;0.191627792
883;0.937159754;0.20178813;0.093848977
885;0.917762148;0.20625001;0.095655036
887;0.923690953;0.16580555;0.132512346
889;0.932965471;0.12513892;0.140047014
891;0.915870966;0.1510162;0.182007828
893;0.913356304;0.17571445;0.253166713
895;0.928735618;0.1841172;0.263192142
897;0.919606584;0.17107377;0.187307475
899;0.939036974;0.17728659;0.131828842
901;0.915824838;0.29091986;0.088140106
903;0.927711188;0.21074772;0.058311351
905;0.940531332;0.1662216;0.083453749
907;0.91711242;0.1660428;0.132352149
