Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:41:36
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;12;69.81;3.66;;;1.81;1.71;18.81;;410.23;;39.63;0.0088;Distortion. End flame at 95s.
;2010-07-28;c_LSFIRE_IN8-3_75b;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
687;0.636216674;0.35316473;0.070408136
689;0.635267939;0.35698091;0.113441939
691;0.636142046;0.30461697;0.055420145
693;0.632203668;0.33996959;0.129672998
695;0.633109957;0.32854927;0.129672998
697;0.626086874;0.3078648;0.134457412
699;0.634885146;0.34603042;0.079037266
701;0.631370181;0.33155851;0.079037266
703;0.637941469;0.35749037;0.004784414
705;0.635551274;0.33809949;0.044000768
707;0.639095847;0.32228079;0.13387471
709;0.637693625;0.33414434;0.160031025
711;0.630744615;0.32554843;0.166135284
713;0.628038116;0.36136382;0.166135284
715;0.630011241;0.30627943;0.12691893
717;0.633925325;0.3395022;0.032260575
719;0.64281814;0.33475314;0.022543177
721;0.646180927;0.30902648;0.070597909
723;0.628719652;0.20601154;0.090173746
725;0.6246592;0.30621781;0.101644136
727;0.637528582;0.31209327;0.105982148
729;0.639545471;0.30176868;0.089543229
731;0.635090738;0.33114188;0.035384239
733;0.619482456;0.3356947;0.015808402
735;0.626260016;0.3033934;0.034864866
737;0.633695406;0.33949107;0.064167959
739;0.634518787;0.30872466;0.10240045
741;0.628066384;0.33639171;0.108336579
743;0.625168288;0.32347423;0.108336579
745;0.648258359;0.30784933;0.077809725
