Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:36:49
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;33;46.94;4.05;;;1.81;1.62;22.31;;318.55;;22.01;0.0088;Distortion. Melting. End flame at 135s.
;2010-07-27;c_LSFIRE_IN8-3_50c;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
711;1.225191776;0.32232357;0.157647681
713;1.239441414;0.28546705;0.116505528
715;1.232136575;0.26891499;0.073954092
717;1.238629138;0.2715363;0.036009494
719;1.245474749;0.282696;0.034629118
721;1.22352574;0.26611891;0.041605832
723;1.213110973;0.25537678;0.086962203
725;1.224364766;0.26014521;0.078566451
727;1.211339699;0.29019684;0.076383588
729;1.213048889;0.31324028;0.068398911
731;1.209551561;0.2849362;0.061422196
733;1.207580601;0.28694017;0.016065826
735;1.228904388;0.23327077;0.033702724
737;1.234871227;0.20406086;0.121758711
739;1.213523245;0.23254673;0.174536802
741;1.201116291;0.22168648;0.174536802
743;1.224663456;0.22168648;0.174536802
745;1.228923227;0.28064901;0.140834078
747;1.228069666;0.28501787;0.052778091
749;1.244355171;0.26487719;0.086678518
751;1.218466162;0.23900606;0.156544794
753;1.241899518;0.25138904;0.185763293
755;1.225024822;0.23171598;0.185763293
757;1.212843262;0.22659102;0.185763293
759;1.19439134;0.22659102;0.099084775
761;1.228790262;0.27252819;0.029218499
763;1.233586371;0.23118469;0.043291441
765;1.242730283;0.25860403;0.095688785
767;1.208287183;0.21936505;0.100646213
769;1.232481736;0.21603769;0.126308225
771;1.231982112;0.24912382;0.126308225
773;1.220226886;0.26989546;0.087707025
775;1.228590867;0.23776477;0.035309681
777;1.239522189;0.19774467;0.072838697
779;1.201064625;0.21684341;0.11990287
781;1.213341507;0.20472783;0.155142115
783;1.232285016;0.23220819;0.150451874
785;1.227456574;0.23779375;0.150451874
787;1.217990735;0.27366936;0.123160508
789;1.221847127;0.2244123;0.072283892
791;1.234198493;0.20497766;0.115871861
793;1.242170441;0.20748131;0.139575306
795;1.219488172;0.25435284;0.139575306
797;1.218942064;0.27524918;0.124380229
799;1.221938271;0.25538337;0.10253066
801;1.248504677;0.26588708;0.047578122
803;1.225732494;0.23334586;0.023874678
805;1.240384;0.24270093;0.08304658
807;1.227859088;0.20272654;0.08304658
809;1.261254385;0.22878116;0.08304658
811;1.230585047;0.23922384;0.07636701
813;1.219832965;0.26445699;0.110065766
815;1.219019503;0.22066298;0.050893864
817;1.240068158;0.23365233;0.050893864
819;1.22595279;0.24026139;0.059445632
821;1.22790208;0.23337747;0.049887751
823;1.238262917;0.24051079;0.016188996
825;1.210983759;0.24697715;0.070016706
827;1.233253205;0.24127787;0.100018549
829;1.229695088;0.18565412;0.091466781
831;1.239087533;0.23510438;0.083829553
833;1.213059753;0.20931491;0.0928597
835;1.229102965;0.268241;0.05911745
837;1.211273799;0.27023794;0.036110951
839;1.22900746;0.22442591;0.109316524
841;1.231731295;0.20776715;0.167243832
843;1.243126586;0.21705417;0.158213686
845;1.2333348;0.24997695;0.138128226
847;1.232464313;0.27514951;0.131132881
849;1.222926763;0.24164538;0.065901231
851;1.214933096;0.23821395;0.069603411
853;1.204665051;0.18306485;0.069603411
855;1.22026676;0.24167041;0.069603411
857;1.235183248;0.20406525;0.069603411
859;1.22708731;0.20406525;0.061629488
861;1.236373839;0.23300732;0.009051734
863;1.22611578;0.24515847;0.034814433
865;1.215089302;0.23107097;0.087818432
867;1.216253684;0.20778515;0.145338126
869;1.226351723;0.19642567;0.202018385
871;1.237708343;0.19456001;0.192966651
873;1.22235061;0.24667725;0.167203952
875;1.208114579;0.26397883;0.114199952
877;1.228043729;0.23788245;0.057354797
879;1.235047225;0.20220662;0.052718845
881;1.229262902;0.20220662;0.099389274
883;1.223555376;0.19222454;0.099389274
885;1.213355979;0.19239227;0.099389274
887;1.213391559;0.20180442;0.098714736
889;1.228330106;0.23506574;0.046670429
891;1.226658795;0.21779622;0.074844184
893;1.24386506;0.20548832;0.151169881
895;1.256890205;0.17565403;0.182822751
897;1.227934207;0.20694299;0.182822751
899;1.213224173;0.21151866;0.182822751
901;1.242800891;0.26789149;0.189576892
903;1.238025846;0.22804614;0.152813904
905;1.218789034;0.22821387;0.172925058
907;1.209358518;0.19912207;0.172925058
909;1.226788243;0.19774204;0.172925058
911;1.228376963;0.2504696;0.091326733
913;1.203536692;0.21763946;0.084706986
915;1.202549027;0.21603462;0.074692969
917;1.224116858;0.1500503;0.091859932
919;1.221361813;0.19596946;0.091859932
921;1.229727258;0.27074157;0.091859932
923;1.248789839;0.21876307;0.07767361
925;1.203568742;0.20066281;0.085995582
927;1.230030076;0.20317743;0.127225163
929;1.225778711;0.18775556;0.127225163
931;1.239228116;0.18590132;0.127225163
933;1.222461568;0.22560353;0.113018684
935;1.228813299;0.1964867;0.103487162
937;1.220501849;0.17476665;0.045090617
939;1.230862071;0.19902635;0.086668319
941;1.197216747;0.24211695;0.086668319
943;1.249924723;0.25869448;0.08211816
945;1.221742193;0.18585127;0.111520319
947;1.22076267;0.20000682;0.159874339
949;1.235424211;0.20602356;0.139304577
951;1.230020943;0.14495036;0.139304577
953;1.224052503;0.20689733;0.139304577
955;1.217998932;0.21440519;0.089357755
957;1.225793394;0.21867438;0.104509191
959;1.230642435;0.21867438;0.088774444
961;1.228169287;0.16667745;0.102840871
963;1.230371429;0.19760987;0.102840871
965;1.247730218;0.21152306;0.082845076
967;1.233329841;0.23757333;0.063591985
969;1.229949848;0.20184043;0.086005012
971;1.211911078;0.13842078;0.100998013
973;1.222045577;0.17332251;0.100998013
975;1.233176914;0.25932939;0.100998013
977;1.223421176;0.20548524;0.062273296
979;1.217843685;0.20111638;0.034587076
981;1.225667724;0.16297555;0.045473916
983;1.221314894;0.16958461;0.074409405
985;1.227613765;0.16958461;0.074409405
987;1.234504173;0.17819807;0.068881758
989;1.227525758;0.19759626;0.068881758
991;1.241997982;0.18863373;0.08187379
993;1.2289624;0.16376765;0.122350827
995;1.268345677;0.18134365;0.155307925
997;1.228103455;0.14443049;0.168055978
999;1.209337549;0.14443049;0.168055978
1001;1.225830158;0.21047848;0.115117677
1003;1.219693616;0.22549683;0.04570515
1005;1.224464737;0.15663038;0.110032788
1007;1.226162421;0.18738103;0.16767177
1009;1.20793656;0.15018905;0.238794713
1011;1.238133897;0.15018905;0.238794713
1013;1.231181925;0.23427759;0.238794713
1015;1.241799711;0.2184926;0.154788537
1017;1.243234128;0.17110075;0.110872133
1019;1.222497277;0.1670814;0.060716788
1021;1.225093472;0.14260786;0.1209154
1023;1.232101397;0.15004766;0.133672395
1025;1.23941188;0.14571042;0.121533201
1027;1.228235421;0.14571042;0.106181147
1029;1.219947005;0.17344062;0.085213549
1031;1.221241216;0.21027167;0.025014937
1033;1.227340881;0.15547208;0.039942175
1035;1.239817542;0.15736935;0.079529745
1037;1.22800276;0.14230841;0.10112807
1039;1.204917234;0.17943233;0.10112807
1041;1.228567988;0.19204012;0.10112807
1043;1.231611939;0.17696074;0.073443837
1045;1.226601378;0.19670844;0.04954006
1047;1.228189349;0.1794073;0.059970848
1049;1.228245924;0.16130704;0.117705442
1051;1.237077093;0.15476604;0.14094101
1053;1.241676502;0.15247623;0.14094101
1055;1.22265784;0.17586918;0.124117853
1057;1.219318423;0.19058105;0.080970162
1059;1.22845135;0.17185641;0.023998863
1061;1.211811563;0.14853152;0.064421321
1063;1.231835466;0.14593523;0.066174555
1065;1.231786927;0.14358175;0.066174555
1067;1.228854536;0.17131151;0.066174555
1069;1.238436185;0.16397182;0.06541126
1071;1.21735234;0.17101206;0.001753234
1073;1.221207729;0.16492024;0.040048507
1075;1.240930739;0.14200852;0.105147532
1077;1.224151691;0.1477258;0.162981854
1079;1.234892222;0.16128245;0.185299493
1081;1.225874613;0.15270104;0.185299493
1083;1.232011279;0.19860615;0.145250986
1085;1.224644853;0.15191991;0.112310177
1087;1.23064339;0.14458724;0.088232313
1089;1.232989957;0.16253734;0.101596779
1091;1.223749582;0.12045224;0.103079171
