Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Plywood;;;;;;;ISO 5660;EUREFIC;CS000001_EUREFIC2;;1;2003-07-24 14:53:40
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
25;143;263;72.5;146;132;61.6;11.8;NA;NA;44;0.01;12;600
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
573.942; 180.59; 0.1064; 132.577
575.922; 169.848; 0.1012; 130.054
577.92; 163.161; 0.0934; 125.578
579.918; 157.976; 0.089; 116.932
582.378; 155.462; 0.0822; 103.353
584.682; 142.387; 0.0769; 87.442
586.662; 136.138; 0.0732; 75.5317
588.66; 134.361; 0.069; 61.4005
590.622; 129.96; 0.0627; 51.2555
593.16; 122.624; 0.0572; 43.2153
595.182; 117.671; 0.0446; 36.6945
597.18; 110.204; 0.0416; 29.2437
601.242; 102.912; 0.0367; 24.1536
603.798; 96.4263; 0.0323; 18.4383
605.778; 91.6048; 0.0297; 14.3428
607.782; 85.5114; 0.0276; 10.5133
610.098; 82.5323; 0.0259; 8.7623
612.162; 78.9491; 0.0235; 8.4581
