Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polypropylene floor covering 8.5 mm;Minerit board;;;Floor;;;ISO 5660;SP Report 2007:29 The Influence of floor materials on room fires;;;1;2007-06-28 14:04:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;12;582;36.7;143.2;98.3;17.4;18.23;11.2;387;205;0.0088;8.5;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);MLR (g/s);SPR (m2/s)
;;;;
Time (s);HRR (kW/m);SEA (m/kg);MLR (g/s);SPR (m/s)
516;17.37154409;-13.49363973;0.029587208;-0.000399239
518;16.95757411;0;-0.020901417;2.64E-05
520;15.82761089;0;-0.010084542;-0.000229494
522;16.17722507;-17.54507426;0.013422333;-0.000235496
524;15.98988114;-22.46574118;0.038887708;-0.000873641
526;15.54085765;-11.49199696;0.030898083;-0.000355081
528;16.21915725;0;-0.001466583;-5.06E-05
530;16.75456445;0;-0.020557792;-0.000200435
532;16.96624265;0;-0.031862167;-3.63E-05
534;17.078872;0;-0.010557458;-0.00053825
536;15.72618094;6.344678473;0.034640583;0.000219783
538;14.90209265;-13.07345415;0.027730708;-0.000362536
540;15.45400787;-44.62754914;0.0216525;-0.000966298
542;14.70435876;-15.66168028;0.046301917;-0.000725166
544;14.98014926;-27.06087872;0.020865708;-0.000564644
546;14.818784;-24.19332474;0.030323333;-0.000733622
548;14.70929933;67.51132878;0.004520958;0.000305216
550;14.94955205;-1707.341148;0.000506708;-0.000865124
552;16.3278092;0;-0.007748917;-0.000682657
554;16.06060184;0;-0.02102375;-0.000781474
556;16.83790685;0;-0.020894833;-0.000697564
558;15.94805283;-888.4265807;0.000438625;-0.000389686
560;15.33815887;-81.26559791;0.011926417;-0.000969207
562;16.33286661;-79.76192718;0.003445125;-0.00027479
564;16.07500061;-12.36616138;0.062838167;-0.000777067
566;15.40340451;-13.29437488;0.022071167;-0.000293422
568;15.34323854;0;-0.036546542;-0.000812526
570;14.81182304;0;-0.003517708;-0.000652213
572;13.55998635;-5.973627776;0.04355225;-0.000260165
574;13.58217039;0;-0.001942083;-0.00076559
576;13.16764291;0;-0.030615875;-0.000197182
578;12.23548167;-14.8846755;0.012966375;-0.000193
580;11.98741624;0;-0.002964125;-0.000688995
582;11.9607292;-19.81298919;0.01965125;-0.00038935
584;11.27895273;0;-0.003346292;-0.000480447
586;11.79125543;0;-0.003562292;-0.000648912
588;11.91538857;-18.63459796;0.029259917;-0.000545247
590;10.91643414;0;-3.70E-05;-0.000111986
592;10.42130486;7.27281163;0.010883625;7.92E-05
594;10.69183879;0;-0.008063792;-6.94E-05
596;9.559867211;-6.940288799;0.010556125;-7.33E-05
598;10.42082363;-4.847979716;0.037254042;-0.000180607
600;10.51324869;0;-0.017520667;-7.50E-06
602;9.649325956;0;-0.01561775;-0.00040502
604;9.479561675;-23.65690187;0.046762458;-0.001106255
606;9.548269113;-75.99770253;0.008087125;-0.000614603
608;9.250098568;0;-0.024774125;-0.000902465
610;9.794897816;-13.76028451;0.01994625;-0.000274466
612;8.492983154;-6.161092537;0.027415917;-0.000168912
614;8.203976472;-29.0986357;0.007972375;-0.000231985
616;8.792808803;0;-0.019953625;-0.000831739
618;8.381927412;0;-0.009964833;-1.57E-05
620;7.658785174;-51.50801311;0.014702458;-0.000757294
622;7.212990835;-6.778633428;0.045119917;-0.000305851
624;6.783270104;0;-0.002543333;-0.000184381
626;5.620293765;0;-0.038207458;6.92E-05
628;5.911679481;5.481970033;0.017117875;9.38E-05
630;5.805366939;0;-0.000574917;-0.00018305
632;5.720268902;0;-0.015939792;0.000842287
634;6.176138705;-5.856131194;0.037297208;-0.000218417
636;5.999648473;-54.97611169;0.007345625;-0.000403834
638;5.153954283;0;-0.003608417;-0.000416968
640;5.859470754;-12.86268944;0.028725833;-0.000369491
642;5.190292329;0;-0.005079458;5.79E-05
644;4.993850402;-412.2999992;0.000993458;-0.000409603
646;5.453861672;0;-0.034984458;0.000171848
648;5.238138691;0;-0.0116275;-0.000322868
650;4.973665506;-6.261568922;0.033884667;-0.000212171
652;5.472654002;-19.55984593;0.037135167;-0.000726358
654;4.000408162;0;-0.004880458;-0.000171989
656;4.685404323;0;-0.003999417;5.62E-05
658;5.123330911;-14.8929858;0.028672667;-0.000427022
660;3.472588056;0;-0.000435667;-0.000338063
662;3.771401474;0;-0.02671375;-0.000645868
664;4.425326207;0;-0.003871125;-0.000119522
666;3.859901537;-8.551195912;0.0564565;-0.000482771
668;3.929815223;0;-0.026595625;-0.000832473
670;4.307125157;0;-0.002759792;-0.000502953
672;3.99250597;-28.42913978;0.032760083;-0.000931341
674;3.570915691;0;-0.006103083;-0.000719744
676;3.856869131;-22.45286579;0.01000075;-0.000224545
678;2.374855286;-7.001920342;0.023538042;-0.000164811
680;2.299383306;0;-0.021931292;5.79E-05
682;2.6172783;0;-0.046035792;-0.000480918
684;2.109826114;-5.370520406;0.021129375;-0.000113476
686;2.378046457;-8.203068414;0.069705167;-0.000571796
688;2.575384548;-6.301911561;0.038792208;-0.000244465
690;3.270790185;0;-0.034024125;0.000109451
692;3.510842724;0;-0.078316042;-0.0005531
694;3.074924966;0;-0.031632667;-0.000447938
696;2.474473814;-23.03444695;0.021261625;-0.00048975
698;2.747212033;-17.31157414;0.018211458;-0.000315269
700;3.444839551;-12.74148591;0.032801583;-0.000417941
702;2.016204999;30.09566254;0.003838167;0.000115512
704;2.259002785;-17.54921058;0.028046583;-0.000492195
706;1.546708017;632.3365225;0.000606458;0.000383486
708;1.049286776;0;-0.029288708;-0.000529689
710;1.302329824;0;-0.001065125;-0.000640728
712;1.385379667;-14.5024454;0.033240042;-0.000482062
714;1.379819204;0;-0.000357958;-0.000549422
716;2.639289168;0;-0.031449958;-0.000244366
718;2.978662855;-69.51059162;0.003518167;-0.00024455
720;2.415187838;-103.97103;0.005150042;-0.000535455
722;2.181533363;3.219843284;0.016119708;5.19E-05
724;1.747762633;-14.69484902;0.017797625;-0.000261533
726;1.194811427;-839.7685979;0.000748;-0.000628147
728;2.531571464;0;-0.035429417;-0.00013807
730;2.743566903;-12.53637611;0.033924458;-0.00042529
732;2.342571954;-2.202652455;0.037086708;-8.17E-05
734;1.846052892;-151.8482927;0.004425542;-0.000672011
736;0.148893779;-24.61116494;0.026517792;-0.000652634
738;0.187967603;0;-0.021205167;-0.000222076
740;1.764035628;0;-0.033701542;-0.000370491
742;1.9863694;0;-0.019057667;-0.000375133
744;0.865884558;0;-0.009658792;-0.000492893
746;0.95774449;-26.2621862;0.029899458;-0.000785225
748;0.646231069;1.841385629;0.039033292;7.19E-05
750;0.375502166;-0.670742299;0.026186625;-1.76E-05
752;0.570441933;0;-0.002011792;-5.76E-05
754;1.064918006;0;-0.009519958;-3.72E-05
756;1.399025443;-113.5311468;0.004473417;-0.000507872
758;2.058736757;0;-0.033466042;-0.000319253
760;1.403906198;0;-0.012250917;-0.00029878
762;1.368219178;-10.70840596;0.039777583;-0.000425955
764;1.485529472;-37.76757283;0.0087845;-0.000331769
766;1.375152737;0;-0.019235625;0.000271895
768;1.837723419;-30.4974461;0.019453375;-0.000593278
770;2.236799;-40.07857317;0.007238875;-0.000290124
772;0.816699508;0;-0.00278025;-0.000456119
774;0.612286566;-1.62942737;0.019378917;-3.16E-05
776;1.033296227;-0.118875651;0.007349917;-8.74E-07
778;0.657464375;0;-0.004805458;-0.000174582
780;0.655450606;1.635984706;0.02735;4.47E-05
782;1.609879826;0;-0.029253667;-9.57E-05
784;1.780498008;0;-0.022044167;-0.000306646
786;0.661609514;-13.93291216;0.03165975;-0.000441113
788;1.021163547;-112.3675677;0.003580792;-0.000402365
790;0.314194022;0;-0.010596458;-0.000534761
792;0.261665931;0;-0.007406125;-0.000354556
794;0.706365206;-31.13459509;0.007224;-0.000224916
796;0.477647925;-5.616767737;0.029889125;-0.00016788
798;0.746581136;-2.739783043;0.031208542;-8.55E-05
800;0.91673089;-1479.518164;0.000161667;-0.000239189
802;1.650850705;0;-0.028206625;-0.000789461
804;2.307967923;0;-0.061070583;-0.00047073
806;2.592774757;-50.66974872;0.004909583;-0.000248767
808;2.123164194;-29.86527117;0.024806125;-0.000740842
810;1.46612456;-3.803676819;0.032068792;-0.000121979
812;1.730921522;-92.2460892;0.005687042;-0.000524607
814;0.546413461;0;-0.042897208;-0.000392902
816;-0.100899752;0;-0.004849625;-0.000377822
818;-0.595810791;-3.166906977;0.039044958;-0.000123652
820;-0.657971628;-30.9947889;0.031828208;-0.000986509
822;-0.063637729;-800.0594516;0.000843375;-0.00067475
824;-1.531193918;0;-0.037499875;-0.000302574
826;-0.998035291;0;-0.000938417;0.00018896
828;-0.303255353;-12.16120296;0.040755458;-0.000495635
830;-0.222948428;0;-0.028770958;-0.000393045
832;-0.444498132;-26.5467891;0.005792;-0.000153759
834;0.926560363;-5.32678615;0.026095833;-0.000139007
836;0.433510177;0;-0.009659417;-0.00054181
838;0.068172798;0;-0.000747917;-0.000163635
840;0.689742653;-47.05814394;0.010201917;-0.000480083
