Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:43:44
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;13;100.01;6.85;;;1.79;1.71;36.66;;511.39;;51.83;0.0088;Distortion. End flame at 47s.;2010-07-28;c_LSFIRE_IN8-3_75c;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
695;3.506946195;0.206935;0.26199119
697;3.532130793;0.19913258;0.28204994
699;3.440020161;0.20332919;0.279305383
701;3.488694217;0.20332919;0.21094444
703;3.522916113;0.24691147;0.157898278
705;3.443897914;0.23707987;0.064295906
707;3.578475896;0.23143102;0.069125048
709;3.512173894;0.19856707;0.193719354
711;3.468534487;0.21397441;0.252641782
713;3.529167304;0.20217843;0.248474754
715;3.503694648;0.2272597;0.248474754
717;3.502129905;0.21949124;0.187052009
719;3.525863616;0.21137383;0.062457702
721;3.46422541;0.21894513;0.04242106
723;3.460783323;0.1919272;0.075205268
725;3.556169074;0.21094589;0.138721305
727;3.519869553;0.19603129;0.152300365
729;3.395945727;0.2029411;0.289544571
731;3.482574263;0.20134506;0.266118365
733;3.435890265;0.22168397;0.235992171
735;3.483540386;0.24877502;0.183823809
737;3.479821694;0.20362477;0.263014313
739;3.405798003;0.21178168;0.221464608
741;3.532538589;0.19267601;0.298711725
743;3.470632922;0.20591037;0.302189726
745;3.513164082;0.20252736;0.341376173
747;3.515784607;0.20515358;0.248606608
749;3.518471311;0.20898705;0.152912107
751;3.489476681;0.19511096;0.062058661
753;3.51752954;0.21694125;0.05238737
