Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seats, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-09 16:21:30
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;10;439.39;96.43;;;40.20;39.87;21.35;;1377;;293.44;0.0088;Melting of the surface. Shrinkage. End flame at 374s.;2010-11-08;c_LSFIRE_F1A-2-2_75b;28.0;3;25;;;;;;;;;0.65;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/s)
847;13.87989029;1.421825052;0.07366163
849;13.9341514;1.418973899;0.085453966
851;13.89004656;1.37483287;0.089155465
853;14.16782963;1.351613204;0.089155465
855;14.14072736;1.355281588;0.095662631
857;13.76169357;1.400761811;0.083817388
859;13.75557196;1.376857366;0.093951431
861;13.50126382;1.37036767;0.092973432
863;13.54347565;1.373552836;0.096035586
865;13.4638137;1.32145727;0.056797169
867;13.70054856;1.409394845;0.072302884
869;13.54404005;1.295296927;0.091332528
871;13.328157;1.324523593;0.12788543
873;13.50781492;1.312900672;0.124823276
875;13.94665749;1.256822602;0.130979536
877;13.35000553;1.268587924;0.11118701
879;13.0075871;1.23896128;0.078576252
881;12.85827051;1.278649675;0.069946231
883;12.96957638;1.29983228;0.070859075
885;13.06253873;1.213353787;0.064702815
887;13.18370832;1.209334636;0.057968423
889;12.86510868;1.202130844;0.074489197
891;12.64567765;1.1772275;0.060321211
893;12.57986841;1.269385262;0.093201582
895;12.61910543;1.193236568;0.09591383
897;12.74961384;1.210991613;0.085939323
899;12.96521988;1.171280183;0.069992835
901;12.58379643;1.171280183;0.09519576
903;12.25487335;1.172881142;0.070644441
905;12.56138749;1.173172226;0.072398252
907;12.77989798;1.196765694;0.064308826
909;12.36117022;1.122790178;0.058861146
911;12.3664671;1.122790178;0.050501209
913;12.22985821;1.142814732;0.077154209
915;12.39797923;1.403000955;0.07268815
917;12.43936744;1.085992201;0.07268815
919;12.327137;1.108890942;0.07692713
921;12.32139365;1.075073429;0.066452083
923;12.12376636;1.719645855;0.070698021
925;12.21163013;1.092237407;0.100234573
927;12.10429631;1.117242839;0.100376764
929;12.01748014;1.079526064;0.09895695
931;11.86694661;1.029603677;0.081423106
933;11.6316123;1.052495612;0.079032155
935;11.6628962;1.05574046;0.052605698
937;11.98495347;1.05574046;0.063388823
939;11.92914551;1.03028165;0.060377596
941;11.8954313;1.024989271;0.083289284
943;11.38104375;1.037105359;0.097832818
945;11.35690878;1.046975497;0.110476789
947;11.40569711;1.012122439;0.099551474
949;11.69007459;0.965540706;0.098019676
951;11.59638967;0.933122592;0.108395485
953;11.30689434;0.975490421;0.104854396
955;11.20712194;0.975490421;0.108619848
957;11.13630876;0.933701095;0.116748105
959;11.22993867;0.933701095;0.116515565
961;11.27834755;0.916415657;0.077915576
963;11.37449062;0.902275597;0.040563466
965;11.04717547;0.923613167;0.047090329
967;10.87961682;0.928257415;0.066681692
969;11.10666047;0.913670258;0.070377271
971;11.1561724;0.894512149;0.073974661
973;11.36601654;0.868047635;0.082987989
975;10.76574008;0.863790801;0.08296808
977;10.77269065;0.895173893;0.066314492
979;10.55506313;0.904312657;0.0823345
981;10.89673835;0.881813894;0.089972245
983;10.84899421;0.846203809;0.074424517
985;10.93363661;0.815899192;0.050698054
987;10.83322855;0.810957579;0.064101728
989;10.55081812;0.877491095;0.068132807
991;10.24683849;0.850341802;0.069470004
993;10.39305487;0.797674016;0.064604187
995;10.65796426;0.797674016;0.062304176
997;10.20938814;0.796245299;0.066841677
999;10.37602292;0.8407795;0.055390087
1001;10.16532377;0.813987779;0.085778994
1003;10.10766142;0.798924732;0.088773776
1005;10.0704674;0.788363009;0.103788746
1007;10.33415097;0.759011219;0.07478154
1009;10.25274557;0.751270807;0.064160035
1011;10.06440941;0.712131597;0.049551988
1013;9.99413382;0.712131597;0.07547341
1015;10.01900769;0.78922003;0.100832387
1017;9.796549203;0.601378522;0.138762758
1019;9.896937603;0.739125401;0.135573714
1021;9.950503592;0.724687451;0.118613538
1023;9.965347695;0.708701419;0.113075342
1025;9.573106406;0.730879258;0.121899578
1027;9.43396664;0.71272057;0.119733213
1029;9.52003253;0.71473826;0.136055481
1031;9.651844597;0.720602859;0.130714656
1033;9.681801762;0.707474785;0.116305101
1035;9.287026412;0.650907213;0.089051812
1037;9.401799967;0.692864593;0.084759315
1039;9.245116585;0.68313005;0.086017667
1041;9.399645617;0.667680114;0.079965477
1043;9.753269608;0.621551235;0.082216219
1045;9.345962786;0.604076803;0.079060227
1047;9.165246496;0.667448189;0.087775083
1049;9.123692924;0.667454995;0.133732467
1051;9.137291247;0.651760046;0.143279205
1053;9.278062436;0.651760046;0.13675877
1055;9.126900411;0.935100494;0.126867098
1057;9.08103923;0.562536678;0.111278397
1059;8.983189449;0.631176884;0.054819565
1061;8.774452882;0.65320604;0.09827091
1063;8.944618718;0.594643814;0.101564392
1065;8.917616905;0.574133423;0.104557006
1067;8.575558971;0.574133423;0.115197066
1069;8.685016157;0.538803951;0.16730686
1071;8.698252595;0.612964796;0.15297901
1073;8.850960868;0.551981237;0.144986766
1075;8.995579186;0.459847034;0.146781038
1077;8.623781143;0.487763301;0.126161961
1079;8.709840231;0.550426872;0.123387978
1081;8.739062854;0.557988237;0.115515304
1083;8.670437487;0.473646799;0.126714284
1085;8.526162118;0.501219105;0.122802449
1087;8.724446103;0.463740014;0.112666874
1089;8.551281094;0.483672426;0.089311057
1091;8.245968936;0.507500436;0.091066491
1093;8.290290412;0.50782136;0.09630301
1095;8.282816106;0.501658872;0.088181149
1097;8.53448614;0.445217471;0.083698078
1099;8.466193216;0.369521632;0.073808432
1101;8.061341312;0.463048952;0.061958306
1103;8.103278504;0.505648181;0.075783062
1105;8.175992075;0.472085628;0.0873125
1107;8.254429992;0.462708657;0.0873125
1109;8.397925646;1.071041714;0.077811308
1111;8.218337803;0.411763813;0.071551298
1113;7.781573646;0.877920914;0.070478649
1115;7.555607795;0.468754398;0.073585167
1117;7.792802686;0.386645298;0.073585167
1119;8.128479996;0.406286103;0.061951364
1121;7.652008662;0.403375269;0.052591556
1123;7.465806317;0.438472816;0.065072869
1125;7.340533879;0.452642718;0.080134959
1127;7.629366815;0.420813577;0.080134959
1129;7.799673067;0.588851985;0.078100434
1131;7.655990855;0.355196241;0.073017383
1133;7.397523382;0.379600135;0.057941459
1135;7.056395894;0.383315115;0.06418995
1137;7.242524745;0.402618242;0.067601311
1139;7.460213619;0.384905603;0.070046196
