Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyester fabric;;;;IN8-2;Curtain and sunblind in driver's cab;;ISO 5660;TRANSFEU;sample prepared according ISO 5660 like test a, but a grid is inserted on the top to maintain the sample.;TRANSFEU;1;2011-03-28 15:44:47
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;8;103.6;3.0;;;3.1;2.7;9.7;;214;;68.7;0.00884;Retracting;;C_LNE_IN8-2_1b;0.74;;;;;;;;;;0.30;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
814;0.0;0.0;0.0
816;0.0;0.0;0.0
818;0.0;0.0;0.0
820;0.0;0.0;0.0
822;0.0;0.0;0.0
824;0.0;0.0;0.0
826;0.0;0.0;0.0
828;0.1;0.0;0.0
830;0.0;0.0;0.0
832;0.0;0.0;0.0
834;0.0;0.0;0.0
836;0.0;0.0;0.0
838;0.0;0.0;0.0
840;0.0;0.0;0.0
842;0.0;0.0;0.0
844;0.0;0.0;0.0
846;0.0;0.0;0.0
848;0.0;0.0;0.0
850;0.0;0.0;0.0
852;0.0;0.0;0.0
854;0.0;0.0;0.0
856;0.0;0.0;0.0
858;0.0;0.0;0.0
860;0.0;0.0;0.0
862;0.0;0.0;0.0
864;0.0;0.0;0.0
866;0.0;0.0;0.0
868;0.1;0.0;0.0
870;0.0;0.0;0.0
872;0.0;0.0;0.0
874;0.0;0.0;0.0
876;0.0;0.0;0.0
878;0.0;0.0;0.0
880;0.0;0.0;0.0
882;0.0;0.0;0.0
884;0.0;0.0;0.0
886;0.1;0.0;0.0
888;0.0;0.0;0.0
890;0.0;0.0;0.0
892;0.0;0.0;0.0
894;0.0;0.0;0.0
896;0.0;0.0;0.0
898;0.0;0.0;0.0
900;0.8;0.0;0.0
902;0.1;0.0;0.0
904;0.0;0.0;0.0
906;0.0;0.0;0.0
908;0.0;0.0;0.0
910;0.0;0.0;0.0
912;0.0;0.0;0.0
914;0.0;0.0;0.0
916;0.0;0.0;0.0
918;0.0;0.0;0.0
920;0.0;0.0;0.0
922;0.8;0.0;0.0
924;0.6;0.0;0.0
926;0.7;0.0;0.0
928;1.1;0.0;0.0
930;0.6;0.0;0.0
932;0.2;0.0;0.0
934;0.2;0.0;0.0
936;0.0;0.0;0.0
938;0.1;0.0;0.0
940;0.0;0.0;0.0
942;0.0;0.0;0.0
944;0.0;0.0;0.0
946;0.0;0.0;0.0
948;0.0;0.0;0.0
950;0.0;0.0;0.0
952;0.0;0.0;0.0
954;0.0;0.0;0.0
956;0.0;0.0;0.0
958;0.4;0.0;0.0
960;0.9;0.0;0.0
962;1.2;0.0;0.0
964;0.7;0.0;0.0
966;0.0;0.0;0.0
968;1.0;0.0;0.0
970;0.9;0.0;0.0
972;0.4;0.0;0.0
974;0.7;0.0;0.0
976;0.0;0.0;0.0
978;0.0;0.0;0.0
980;0.0;0.0;0.0
982;0.0;0.0;0.0
984;0.0;0.0;0.0
986;0.0;0.0;0.0
988;0.0;0.0;0.0
990;0.0;0.0;0.0
992;0.0;0.0;0.0
994;0.0;0.0;0.0
996;0.0;0.0;0.0
998;0.0;0.0;0.0
1000;0.0;0.0;0.0
1002;0.1;0.0;0.0
1004;0.0;0.0;0.0
1006;0.0;0.0;0.0
1008;0.0;0.0;0.0
1010;0.1;0.0;0.0
1012;0.0;0.0;0.0
1014;0.0;0.0;0.0
1016;0.0;0.0;0.0
1018;0.0;0.0;0.0
1020;0.0;0.0;0.0
1022;0.0;0.0;0.0
1024;0.0;0.0;0.0
1026;0.0;0.0;0.0
1028;0.0;0.0;0.0
1030;0.0;0.0;0.0
1032;0.0;0.0;0.0
1034;0.0;0.0;0.0
1036;0.0;0.0;0.0
1038;0.0;0.0;0.0
1040;0.0;0.0;0.0
1042;0.0;0.0;0.0
1044;0.6;0.0;0.0
1046;0.4;0.0;0.0
1048;0.0;0.0;0.0
1050;0.4;0.0;0.0
1052;0.0;0.0;0.0
1054;0.0;0.0;0.0
1056;0.0;0.0;0.0
1058;0.7;0.0;0.0
1060;0.7;0.0;0.0
1062;0.7;0.0;0.0
1064;0.1;0.0;0.0
1066;0.4;0.0;0.0
1068;0.0;0.0;0.0
1070;0.0;0.0;0.0
1072;0.0;0.0;0.0
1074;0.0;0.0;0.0
1076;0.0;0.0;0.0
1078;0.0;0.0;0.0
1080;0.0;0.0;0.0
1082;0.0;0.0;0.0
1084;0.0;0.0;0.0
1086;0.0;0.0;0.0
1088;0.0;0.0;0.0
1090;0.0;0.0;0.0
1092;0.0;0.0;0.0
1094;0.0;0.0;0.0
1096;0.0;0.0;0.0
1098;0.9;0.0;0.0
1100;1.1;0.0;0.0
1102;1.2;0.0;0.0
1104;0.6;0.0;0.0
1106;0.6;0.0;0.0
1108;1.0;0.0;0.0
1110;0.5;0.0;0.0
1112;1.5;0.0;0.0
1114;0.9;0.0;0.0
1116;0.7;0.0;0.0
1118;0.6;0.0;0.0
1120;1.2;0.0;0.0
1122;0.7;0.0;0.0
1124;1.0;0.0;0.0
1126;0.4;0.0;0.0
1128;0.0;0.0;0.0
1130;0.0;0.0;0.0
1132;0.0;0.0;0.0
1134;0.0;0.0;0.0
1136;0.0;0.0;0.0
1138;0.0;0.0;0.0
1140;0.0;0.0;0.0
1142;0.0;0.0;0.0
1144;0.4;0.0;0.0
1146;1.3;0.0;0.0
1148;2.3;0.0;0.0
1150;1.6;0.0;0.0
1152;1.1;0.0;0.0
1154;1.3;0.0;0.0
1156;0.0;0.0;0.0
1158;0.0;0.0;0.0
1160;0.0;0.0;0.0
1162;0.0;0.0;0.0
1164;0.0;0.0;0.0
1166;0.0;0.0;0.0
1168;0.0;0.0;0.0
1170;0.0;0.0;0.0
1172;0.0;0.0;0.0
1174;0.0;0.0;0.0
1176;0.0;0.0;0.0
1178;0.0;0.0;0.0
1180;0.3;0.0;0.0
1182;0.5;0.0;0.0
1184;1.1;0.0;0.0
1186;1.0;0.0;0.0
1188;0.0;0.0;0.0
1190;0.0;0.0;0.0
1192;0.0;0.0;0.0
1194;0.0;0.0;0.0
1196;0.0;0.0;0.0
1198;0.0;0.0;0.0
1200;0.0;0.0;0.0
